Name,FGL ID,MLB ID,Team,Position,IN_HOF
Pee Wee Reese,1010776,121010,Los Angeles Dodgers,SS,Yes
Jake Beckley,1000754,110776,St. Louis Cardinals,1B,Yes
Darrell Evans,1003864,113935,Atlanta Braves,3B,No
Hank Greenberg,1004996,115096,Pittsburgh Pirates,1B,Yes
Ryne Sandberg,1011411,121665,Chicago Cubs,2B,Yes
Joe Gordon,1004874,114967,Cleveland Indians,2B,Yes
Joe Jackson,1006301,116432,Chicago White Sox,LF,No
Sammy Sosa,302,122544,Texas Rangers,RF,No
Jack Glasscock,1004757,114846,Pittsburgh Pirates,SS,No
Max Carey,1001944,111989,Los Angeles Dodgers,CF,Yes
Dave Winfield,1014127,124448,Cleveland Indians,RF,Yes
Bobby Abreu,945,110029,New York Mets,RF,No
Andre Dawson,1003091,113151,Miami Marlins,RF,Yes
Keith Hernandez,1005706,115826,Cleveland Indians,1B,No
Tony Perez,1010188,120404,Cincinnati Reds,1B,Yes
Ichiro Suzuki,1101,400085,Seattle Mariners,RF,No
Richie Ashburn,1000335,110349,New York Mets,CF,Yes
John Olerud,1093,119976,Boston Red Sox,1B,No
Jackie Robinson,1011070,121314,Los Angeles Dodgers,2B,Yes
Bobby Bonds,1001157,111189,Chicago Cubs,RF,No
Bill Terry,1012927,123203,San Francisco Giants,1B,Yes
Fred McGriff,293,118730,Tampa Bay Rays,1B,No
Robin Ventura,854,123697,Los Angeles Dodgers,3B,No
Jimmy Sheckard,1011843,122100,Cincinnati Reds,OF,No
Robinson Cano,3269,429664,New York Mets,2B,No
Sal Bando,1000505,110526,Milwaukee Brewers,3B,No
Bill Dickey,1003271,113340,New York Yankees,C,Yes
Jeff Kent,1119,116999,Los Angeles Dodgers,2B,No
Elmer Flick,1004158,114241,Cleveland Indians,RF,Yes
Lance Berkman,548,204020,Texas Rangers,1B,No
Joey Votto,4314,458015,Cincinnati Reds,1B,No
Stan Hack,1005183,115283,Chicago Cubs,3B,No
Willie Keeler,1006747,116891,San Francisco Giants,RF,Yes
Ron Cey,1002108,112162,Oakland Athletics,3B,No
Joe Tinker,1013075,123353,Chicago Cubs,SS,Yes
Todd Helton,432,115732,Colorado Rockies,1B,No
Billy Herman,1005692,115809,Pittsburgh Pirates,2B,Yes
Joe Kelley,1006776,116926,Atlanta Braves,LF,Yes
Harry Stovey,1012586,122845,Los Angeles Dodgers,1B,No
Ken Boyer,1001283,111321,Los Angeles Dodgers,3B,No
Norm Cash,1002043,112090,Detroit Tigers,1B,No
Vladimir Guerrero,778,115223,Baltimore Orioles,RF,Yes
Ted Simmons,1011986,122247,Atlanta Braves,C,No
Gabby Hartnett,1005458,115572,San Francisco Giants,C,Yes
Willie Davis,1003088,113146,Los Angeles Angels,CF,No
Bobby Doerr,1003355,113419,Boston Red Sox,2B,Yes
Kiki Cuyler,1002914,112979,Los Angeles Dodgers,RF,Yes
Jimmy Wynn,1014313,124634,Milwaukee Brewers,CF,No
Jimmy Collins,1002455,112511,Oakland Athletics,3B,Yes
Harry Hooper,1006002,116127,Chicago White Sox,RF,Yes
David Wright,3787,431151,New York Mets,3B,No
Tommy Leach,1007428,117582,Pittsburgh Pirates,CF,No
Chet Lemon,1007518,117669,Detroit Tigers,CF,No
Will Clark,1002318,112345,St. Louis Cardinals,1B,No
George Sisler,1012021,122280,Atlanta Braves,1B,Yes
Enos Slaughter,1012060,122319,Atlanta Braves,RF,Yes
Larry Doby,1003346,113411,Chicago White Sox,CF,Yes
Jim Rice,1010897,121140,Boston Red Sox,LF,Yes
Minnie Minoso,1008984,119176,Chicago White Sox,LF,No
Mike Cameron,1070,111904,Miami Marlins,CF,No
David Ortiz,745,120074,Boston Red Sox,DH,No
Mickey Cochrane,1002384,112437,Detroit Tigers,C,Yes
Jack Clark,1002288,112326,Boston Red Sox,RF,No
Bob Elliott,1003733,113813,Chicago White Sox,3B,No
