K,WAR,NAME
-2,210.6,"RUTH, BABE"
-1,189.6,"RUTH, BABE"
0,168.6,"RUTH, BABE"
1,148.5,"RUTH, BABE"
2,130.6,"RUTH, BABE"
3,113.6,"RUTH, BABE"
4,97,"RUTH, BABE"
5,81,"RUTH, BABE"
6,66.6,"RUTH, BABE"
7,53.4,"RUTH, BABE"
8,41.6,"RUTH, BABE"
9,30.9,"RUTH, BABE"
10,21.5,"RUTH, BABE"
11,13.7,"RUTH, BABE"
12,7.7,"RUTH, BABE"
13,3.2,"RUTH, BABE"
14,1,"RUTH, BABE"
15,0,"RUTH, BABE"
