K,WAR,NAME
-2,141,"YASTRZEMSKI, CARL"
-1,118,"YASTRZEMSKI, CARL"
0,95,"YASTRZEMSKI, CARL"
1,74,"YASTRZEMSKI, CARL"
2,55.5,"YASTRZEMSKI, CARL"
3,39.6,"YASTRZEMSKI, CARL"
4,26.8,"YASTRZEMSKI, CARL"
5,16.9,"YASTRZEMSKI, CARL"
6,11.6,"YASTRZEMSKI, CARL"
7,8.3,"YASTRZEMSKI, CARL"
8,5.3,"YASTRZEMSKI, CARL"
9,2.4,"YASTRZEMSKI, CARL"
10,1.1,"YASTRZEMSKI, CARL"
11,0.1,"YASTRZEMSKI, CARL"
12,0,"YASTRZEMSKI, CARL"
13,0,"YASTRZEMSKI, CARL"
14,0,"YASTRZEMSKI, CARL"
15,0,"YASTRZEMSKI, CARL"
