Name,FGL ID,MLB ID,Team,Position,IN_HOF
Joe Gordon,1004874,114967,Cleveland Indians,2B,True
Joe Jackson,1006301,116432,Chicago White Sox,LF,False
Sammy Sosa,302,122544,Texas Rangers,RF,False
Jack Glasscock,1004757,114846,Pittsburgh Pirates,SS,False
Max Carey,1001944,111989,Los Angeles Dodgers,CF,True
Dave Winfield,1014127,124448,Cleveland Indians,RF,True
Bobby Abreu,945,110029,New York Mets,RF,False
Andre Dawson,1003091,113151,Miami Marlins,RF,True
Keith Hernandez,1005706,115826,Cleveland Indians,1B,False
Tony Perez,1010188,120404,Cincinnati Reds,1B,True
Ichiro Suzuki,1101,400085,Seattle Mariners,RF,False
Richie Ashburn,1000335,110349,New York Mets,CF,True
John Olerud,1093,119976,Boston Red Sox,1B,False
Jackie Robinson,1011070,121314,Los Angeles Dodgers,2B,True
Bobby Bonds,1001157,111189,Chicago Cubs,RF,False
Bill Terry,1012927,123203,San Francisco Giants,1B,True
Fred McGriff,293,118730,Tampa Bay Rays,1B,False
Robin Ventura,854,123697,Los Angeles Dodgers,3B,False
Jimmy Sheckard,1011843,122100,Cincinnati Reds,OF,False
Robinson Cano,3269,429664,New York Mets,2B,False
Sal Bando,1000505,110526,Milwaukee Brewers,3B,False
Bill Dickey,1003271,113340,New York Yankees,C,True
Jeff Kent,1119,116999,Los Angeles Dodgers,2B,False
Elmer Flick,1004158,114241,Cleveland Indians,RF,True
Lance Berkman,548,204020,Texas Rangers,1B,False
Joey Votto,4314,458015,Cincinnati Reds,1B,False
Stan Hack,1005183,115283,Chicago Cubs,3B,False
Willie Keeler,1006747,116891,San Francisco Giants,RF,True
Ron Cey,1002108,112162,Oakland Athletics,3B,False
Joe Tinker,1013075,123353,Chicago Cubs,SS,True
Todd Helton,432,115732,Colorado Rockies,1B,False
Billy Herman,1005692,115809,Pittsburgh Pirates,2B,True
Joe Kelley,1006776,116926,Atlanta Braves,LF,True
Harry Stovey,1012586,122845,Los Angeles Dodgers,1B,False
Ken Boyer,1001283,111321,Los Angeles Dodgers,3B,False
Norm Cash,1002043,112090,Detroit Tigers,1B,False
Vladimir Guerrero,778,115223,Baltimore Orioles,RF,True
Ted Simmons,1011986,122247,Atlanta Braves,C,False
Gabby Hartnett,1005458,115572,San Francisco Giants,C,True
Willie Davis,1003088,113146,Los Angeles Angels,CF,False
Bobby Doerr,1003355,113419,Boston Red Sox,2B,True
Kiki Cuyler,1002914,112979,Los Angeles Dodgers,RF,True
Jimmy Wynn,1014313,124634,Milwaukee Brewers,CF,False
Jimmy Collins,1002455,112511,Oakland Athletics,3B,True
Harry Hooper,1006002,116127,Chicago White Sox,RF,True
David Wright,3787,431151,New York Mets,3B,False
Tommy Leach,1007428,117582,Pittsburgh Pirates,CF,False
Chet Lemon,1007518,117669,Detroit Tigers,CF,False
Will Clark,1002318,112345,St. Louis Cardinals,1B,False
George Sisler,1012021,122280,Atlanta Braves,1B,True
Enos Slaughter,1012060,122319,Atlanta Braves,RF,True
Larry Doby,1003346,113411,Chicago White Sox,CF,True
Jim Rice,1010897,121140,Boston Red Sox,LF,True
Minnie Minoso,1008984,119176,Chicago White Sox,LF,False
Mike Cameron,1070,111904,Miami Marlins,CF,False
David Ortiz,745,120074,Boston Red Sox,DH,False
Mickey Cochrane,1002384,112437,Detroit Tigers,C,True
Jack Clark,1002288,112326,Boston Red Sox,RF,False
Bob Elliott,1003733,113813,Chicago White Sox,3B,False
Heinie Groh,1005078,115179,Pittsburgh Pirates,3B,False
Orlando Cepeda,1002103,112157,Kansas City Royals,1B,True
Sam Rice,1010900,121137,Cleveland Indians,RF,True
Tony Lazzeri,1007422,117577,San Francisco Giants,2B,True
Cesar Cedeno,1002100,112153,Los Angeles Dodgers,CF,False
Matt Holliday,1873,407812,Colorado Rockies,LF,False
Jason Giambi,818,114739,Cleveland Indians,1B,False
Edd Roush,1011247,121497,Cincinnati Reds,CF,True
Larry Doyle,1003467,113531,San Francisco Giants,2B,False
Jimmy Rollins,971,276519,Philadelphia Phillies,SS,False
Ed Konetchy,1007093,117245,Philadelphia Phillies,1B,False
Dave Bancroft,1000503,110524,San Francisco Giants,SS,True
Rocky Colavito,1002404,112455,New York Yankees,RF,False
Fred Lynn,1007872,118040,San Diego Padres,CF,False
Joe Mauer,1857,408045,Minnesota Twins,C,False
Luis Aparicio,1000278,110290,Boston Red Sox,SS,True
Johnny Evers,1003876,113949,Atlanta Braves,2B,True
John McGraw,1008542,118726,San Francisco Giants,3B,False
Curtis Granderson,4747,434158,Miami Marlins,LF,False
Evan Longoria,9368,446334,San Francisco Giants,3B,False
Vern Stephens,1012501,122749,Chicago White Sox,SS,False
Andrew McCutchen,9847,457705,Philadelphia Phillies,LF,False
Brian Downing,1003451,113516,Texas Rangers,DH,False
Hugh Duffy,1003533,113598,Philadelphia Phillies,CF,True
Frank Chance,1002131,112183,New York Yankees,1B,True
Buck Ewing,1003881,113959,Cincinnati Reds,C,True
Joe Sewell,1011766,122023,New York Yankees,SS,True
Rusty Staub,1012440,122699,New York Mets,OF,False
Moises Alou,261,110189,New York Mets,LF,False
Ian Kinsler,6195,435079,San Diego Padres,2B,False
Ralph Kiner,1006923,117072,Cleveland Indians,LF,True
Vada Pinson,1010360,120590,Kansas City Royals,CF,False
George Foster,1004250,114333,Chicago White Sox,LF,False
Dustin Pedroia,8370,456030,Boston Red Sox,2B,False
Tony Phillips,1010300,120522,Oakland Athletics,2B,False
