id,season,war
1002796,1929,3.4
1002796,1930,8.3
1002796,1931,7.0
1002796,1932,6.0
1002796,1933,7.4
1002796,1934,3.7
1002796,1935,3.1
1002796,1936,0.7
1002796,1937,3.7
1002796,1938,6.7
1002796,1939,4.1
1002796,1940,4.1
1002796,1941,5.1
1002796,1942,0.9
1002796,1943,1.1
1002796,1944,0.4
1002796,1945,0.2
1070,1995,0.0
1070,1996,-0.1
1070,1997,4.3
1070,1998,0.9
1070,1999,5.3
1070,2000,3.6
1070,2001,5.5
1070,2002,5.5
1070,2003,5.3
1070,2004,3.8
1070,2005,2.1
1070,2006,4.5
1070,2007,1.9
1070,2008,4.0
1070,2009,4.1
1070,2010,-0.2
1070,2011,0.2
1001944,1910,0.3
1001944,1911,2.3
1001944,1912,4.0
1001944,1913,3.6
1001944,1914,2.2
1001944,1915,2.6
1001944,1916,4.9
1001944,1917,5.6
1001944,1918,4.5
1001944,1919,1.7
1001944,1920,2.9
1001944,1921,4.5
1001944,1922,5.6
1001944,1923,5.3
1001944,1924,4.1
1001944,1925,4.8
1001944,1926,-1.2
1001944,1927,2.2
1001944,1928,0.2
1001944,1929,0.0
854,1989,0.1
854,1990,1.7
854,1991,5.4
854,1992,6.1
854,1993,5.5
854,1994,3.0
854,1995,4.8
854,1996,5.0
854,1997,1.8
854,1998,5.8
854,1999,7.3
854,2000,1.9
854,2001,2.7
854,2002,3.7
854,2003,1.4
854,2004,0.5
1012309,1907,-0.2
1012309,1908,0.0
1012309,1909,6.3
1012309,1910,7.5
1012309,1911,5.9
1012309,1912,10.6
1012309,1913,8.6
1012309,1914,9.3
1012309,1915,6.5
1012309,1916,8.0
1012309,1917,7.7
1012309,1918,5.6
1012309,1919,5.1
1012309,1920,8.7
1012309,1921,6.3
1012309,1922,6.7
1012309,1923,8.7
1012309,1924,4.4
1012309,1925,6.4
1012309,1926,5.1
1012309,1927,3.2
1012309,1928,0.4
4747,2004,0.1
4747,2005,1.1
4747,2006,4.0
4747,2007,7.9
4747,2008,4.1
4747,2009,3.0
4747,2010,4.0
4747,2011,6.9
4747,2012,4.0
4747,2013,1.2
4747,2014,1.2
4747,2015,5.3
4747,2016,3.1
4747,2017,2.1
4747,2018,0.9
4747,2019,-0.9
97,1993,0.1
97,1995,2.9
97,1996,6.3
97,1997,3.7
97,1998,7.1
97,1999,7.3
97,2000,6.0
97,2001,6.1
97,2002,5.9
97,2003,3.9
97,2004,3.3
97,2005,4.9
97,2006,3.9
97,2007,6.9
97,2008,7.1
97,2009,2.3
97,2010,2.5
97,2011,1.8
97,2012,2.5
1009904,1926,0.3
1009904,1927,0.0
1009904,1928,4.1
1009904,1929,8.0
1009904,1930,6.9
1009904,1931,5.8
1009904,1932,8.1
1009904,1933,5.4
1009904,1934,7.3
1009904,1935,7.7
1009904,1936,7.9
1009904,1937,6.7
1009904,1938,8.7
1009904,1939,5.6
1009904,1940,5.0
1009904,1941,4.7
1009904,1942,6.3
1009904,1943,3.0
1009904,1944,5.3
1009904,1945,4.6
1009904,1946,-0.9
1009904,1947,-0.1
1857,2004,1.2
1857,2005,3.4
1857,2006,5.8
1857,2007,3.3
1857,2008,5.8
1857,2009,8.2
1857,2010,5.5
1857,2011,2.2
1857,2012,4.3
1857,2013,5.0
1857,2014,1.7
1857,2015,0.3
1857,2016,1.0
1857,2017,2.2
1857,2018,1.0
1008315,1951,3.9
1008315,1952,1.0
1008315,1954,10.3
1008315,1955,9.0
1008315,1956,6.9
1008315,1957,8.4
1008315,1958,9.7
1008315,1959,7.4
1008315,1960,8.3
1008315,1961,8.3
1008315,1962,10.5
1008315,1963,9.8
1008315,1964,10.5
1008315,1965,10.7
1008315,1966,8.5
1008315,1967,4.1
1008315,1968,6.7
1008315,1969,2.9
1008315,1970,4.8
1008315,1971,5.9
1008315,1972,1.8
1008315,1973,0.4
1001708,1911,-0.3
1001708,1912,0.1
1001708,1913,3.6
1001708,1914,7.0
1001708,1915,2.3
1001708,1916,3.1
1001708,1917,6.7
1001708,1918,4.6
1001708,1919,5.8
1001708,1920,4.8
1001708,1921,3.4
1001708,1922,1.9
1001708,1923,2.6
1001708,1924,0.2
1001708,1925,0.0
1001860,1933,0.2
1001860,1934,1.0
1001860,1935,0.8
1001860,1936,5.6
1001860,1937,6.1
1001860,1938,4.4
1001860,1939,6.5
1001860,1940,5.5
1001860,1941,6.9
1001860,1942,5.0
1001860,1943,1.8
1001860,1945,0.1
589,1998,0.2
589,1999,4.3
589,2000,0.4
589,2001,5.4
589,2002,5.4
589,2003,6.9
589,2004,6.4
589,2005,2.3
589,2006,7.8
589,2007,5.1
589,2008,7.2
589,2009,2.9
589,2010,0.7
589,2011,4.3
589,2012,3.3
589,2013,2.7
589,2014,-0.5
589,2015,1.8
589,2016,2.4
589,2017,-1.1
970,1996,-0.2
970,1997,4.2
970,1998,7.0
970,1999,4.8
970,2000,4.6
970,2001,5.6
970,2002,6.5
970,2003,6.2
970,2004,9.0
970,2005,1.1
970,2006,5.5
970,2007,2.4
970,2008,2.7
970,2009,4.1
970,2010,4.5
970,2011,1.1
970,2012,0.8
1744,2003,0.8
1744,2004,2.3
1744,2005,5.1
1744,2006,6.3
1744,2007,5.0
1744,2008,2.6
1744,2009,5.1
1744,2010,6.1
1744,2011,6.6
1744,2012,7.3
1744,2013,8.6
1744,2014,5.2
1744,2015,4.6
1744,2016,4.8
1744,2017,-0.1
1744,2018,0.7
1744,2019,0.3
1002108,1971,0.0
1002108,1972,0.1
1002108,1973,4.4
1002108,1974,5.0
1002108,1975,6.6
1002108,1976,6.4
1002108,1977,4.3
1002108,1978,5.7
1002108,1979,5.5
1002108,1980,5.2
1002108,1981,3.3
1002108,1982,3.6
1002108,1983,1.9
